locality,street,rooms,area,price_total_zl,price_sqm_zl,owner_type,date_posted,photo_count,url,image_url
Sopot Sopot Górny,ul. Okrężna,2,56,1920000,34043,Bez pośredników,3 dni temu,14,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-ul-okrezna-2-pokojowe-l5x4o1,https://s2.adresowa.pl/oi/44/54/3a9074_819b_cover-2-pokojowe-mieszkanie-sopot-sopot-gorny-ul-okrezna.jpg
Sopot Sopot Dolny,ul. Jana Jerzego Haffnera,1,26,1040000,40000,Bez pośredników,ponad tydzień temu,12,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-jana-jerzego-haffnera-1-pokoj-q6a7g7,https://s2.adresowa.pl/oi/7f/11/3a7b00_9fe7_cover-1-pokojowe-mieszkanie-sopot-sopot-dolny-ul-jana-jerzego-haffnera.jpg
Sopot Centrum,ul. Alfonsa Chmielewskiego,13,250,7200000,28748,Bez pośredników,ponad tydzień temu,58,https://adresowo.pl/o/mieszkanie-sopot-centrum-ul-alfonsa-chmielewskiego-13-pokojowe-v5q9c7,https://s2.adresowa.pl/oi/65/7c/3a6b2c_3f7a_cover-13-pokojowe-mieszkanie-sopot-centrum-ul-alfonsa-chmielewskiego.jpg
,,,,,,Pośrednik,,,https://adresowo.pl/mieszkania/sopot/brodwino/,
Sopot,ul. Tadeusza Kościuszki,3,58,1250000,21578,Oferta biura nieruchomości,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-sopot-ul-tadeusza-kosciuszki-3-pokojowe-o1l4i6,https://s2.adresowa.pl/oi/1e/31/3a736e_a36c_cover-3-pokojowe-mieszkanie-sopot-ul-tadeusza-kosciuszki.jpg
,,,,,,Pośrednik,,,,
,,,,,,Pośrednik,,,,
Sopot Sopot Dolny,ul. Stefana Okrzei,4,51,1190000,23333,Oferta biura nieruchomości,ponad tydzień temu,22,https://adresowo.pl/o/mieszkanie-sopot-sopot-dolny-ul-stefana-okrzei-4-pokojowe-g2m5a1,https://s2.adresowa.pl/oi/60/76/3a673c_6760_cover-4-pokojowe-mieszkanie-sopot-sopot-dolny-ul-stefana-okrzei.jpg
Sopot Centrum,ul. Alfonsa Chmielewskiego,3,51,1385000,27426,Bez pośredników,ponad tydzień temu,16,https://adresowo.pl/o/mieszkanie-sopot-centrum-ul-alfonsa-chmielewskiego-3-pokojowe-u1e0d8,https://s2.adresowa.pl/oi/2f/20/3a6226_445f_cover-3-pokojowe-mieszkanie-sopot-centrum-ul-alfonsa-chmielewskiego.jpg
Sopot Sopot Górny,al. Niepodległości,2,49,1151000,23596,Bez pośredników,ponad tydzień temu,11,https://adresowo.pl/o/mieszkanie-sopot-sopot-gorny-al-niepodleglosci-2-pokojowe-p4i5q4,https://s2.adresowa.pl/oi/3f/79/39f8e4_5630_cover-2-pokojowe-mieszkanie-sopot-sopot-gorny-al-niepodleglosci.jpg
